CODE_COMMUNE,CODE_EPCI
26205,242600534
26206,200068781
26207,200068781
26208,242600252
26209,200068229
26210,200068781
26211,200040681
26212,200068781
26213,200040491
26214,242600252
26215,242600534
26216,200040491
26217,200067767
26218,200068781
26220,200068229
26221,242600252
26222,242600492
26223,200067767
26224,200068781
26225,200068781
26226,200040681
26227,200068229
26228,242600534
26229,200068229
26231,200068781
26232,200068781
26233,200068229
26234,200040509
26235,200042901
26236,200068229
26238,200068229
26239,200068229
26240,242600252
26241,242600252
26242,200068229
26243,242600492
26244,200068229
26245,200068229
26246,242600534
26247,200040491
26248,242600534
26249,242600492
26250,200073096
26251,200040459
26252,200068781
26253,242600534
26254,242600534
26255,242600534
26256,200068229
26257,200040459
26258,200040459
26259,200040491
26261,200040681
26262,242600534
26263,200068229
26264,200068229
26266,200040509
26267,200068229
26268,242600492
26269,200068229
26270,200067767
26271,200073096
26272,200040459
26273,200068781
26274,242600534
26275,200042901
26276,242600492
26277,242600252
26278,200068229
26279,200068229
26281,200068781
26282,242600534
26283,242600534
26284,200040681
26285,200040681
26286,200068229
26287,200040459
26288,200068229
26289,200040509
26290,200067767
26291,242600534
26292,200068229
26293,200040491
26294,200068781
26295,200040491
26296,200040509
26298,200068781
26299,242600534
26300,242600534
26301,200073096
26302,200067767
26303,200068229
26304,200068229
26305,200040459
26306,200068229
26307,200067767
26308,242600534
26309,200067767
26310,200068781
26311,200067767
26312,200040459
26313,200068781
26314,200040491
26315,200067767
26316,200067767
26317,200068229
26318,200068229
26319,200068781
26320,200067767
26321,242600534
26322,200040681
26323,200068781
26324,200042901
26325,200040491
26326,200042901
26327,242600534
26328,200040509
26329,200068229
26330,200040491
26331,200067767
26332,200040491
26333,200040491
26334,242600492
26335,200040681
26336,242600252
26337,200040459
26338,200040459
26339,200040459
26340,200068229
26341,200073096
26342,200042901
26343,242600492
26344,242600252
26345,200042901
26346,242600252
26347,200073096
26348,200040681
26349,200040491
26350,242600492
26351,242600492
26352,200040459
26353,200040459
26355,200068781
26356,242600492
26357,200042901
26358,200068781
26359,242600534
26360,200040681
26361,242600534
26362,200068781
26363,200068229
26364,200067767
26365,242600252
26367,200068229
26368,200040509
26369,200068229
26370,200068229
26372,200068229
26373,242600492
26374,200068765
26375,200068229
26376,200068229
26377,200068229
26378,242600534
26379,200068781
26380,200073096
26381,200068781
26382,200068781
38001,200068567
38002,200018166
38003,200085751
38004,200070431
38005,243800745
38006,200018166
38008,200040657
38009,200085751
38010,200068542
38011,243800935
38012,200068567
38013,243801073
38015,200059392
38017,200085751
38018,200070431
38019,200085751
38020,243800745
38022,200068542
38023,200030658
38026,200068542
38027,200018166
38029,200068567
38030,243801073
38031,200040657
38032,200059392
38033,200070431
38034,200085751
38035,200059392
38036,200070431
38037,200085751
38038,200068567
38039,200018166
38040,243800745
38041,200070431
38042,243801073
38043,243800984
38044,200068567
38045,200018166
38046,243801073
38047,200068567
38048,243801255
38049,200059392
38050,200068542
38051,200085751
38052,243800745
38053,243800604
38054,200068542
38055,200068542
38056,200059392
38057,200040715
38058,200059392
38059,200040715
38060,200059392
38061,243800984
38062,200018166
38063,243801073
38064,200068567
38065,243801073
38066,200085751
38067,200068542
38068,200040715
38069,200059392
38070,200018166
38071,200040715
38072,200085751
38073,200040657
38074,200070431
38075,200018166
38076,200068567
38077,200085751
38078,200018166
38080,243800984
38081,243801255
38082,243800984
38083,200068542
38084,243800984
38085,243800935
38086,200070431
38087,200077014
38089,200068567
38090,200030658
38091,243800604
38092,200070431
38093,200059392
38094,200059392
38095,200070431
38097,243800935
38098,200068567
38099,200070431
38100,200018166
38101,200085751
38102,243800604
38103,200030658
38104,200068567
38105,243800984
38106,200040657
38107,200077014
38108,200070431
38109,200068542
38110,200077014
38111,200040715
38112,243800745
38113,200030658
38114,200085751
38115,200030658
38116,200040657
38117,200070431
38118,243801073
38120,200018166
38124,200068542
38126,200040715
38127,200030658
38128,200040657
38129,243801024
38130,200059392
38131,200077014
38132,200040657
38133,243800984
38134,200085751
38135,200068542
38136,243800604
38137,200070431
38138,200068542
38139,200068542
38140,200018166
38141,200059392
38144,243801255
38146,200068542
38147,200068567
38148,200068567
38149,243800604
38150,200040715
38151,200040715
38152,243800604
38153,243801024
38154,200040657
38155,200040111
38156,243800604
38157,200077014
38158,200040715
38159,243801073
38160,200077014
38161,200059392
38162,200068567
38163,200018166
38166,200018166
38167,243801073
38169,200040715
38170,200040715
38171,200059392
38172,243800604
38173,243800745
38174,200059392
38175,200018166
38176,200068542
38177,243800745
38179,200040715
38180,200059392
38181,200018166
38182,243801073
38183,200068567
38184,243801255
38185,200040715
38186,200030658
38187,200040715
38188,200040715
38189,243801255
38190,200068542
38191,243800745
38192,200018166
38193,243800604
38194,243801073
38195,200070431
38197,243800935
38198,200085751
38199,200077014
38200,200040715
38203,200040657
38204,200030658
38205,243801024
38206,200018166
38207,200040657
38208,200030658
38209,200059392
38210,200068542
38211,200059392
38212,243800745
38213,200059392
38214,200018166
38215,200077014
38216,200070431
38217,200040657
38218,200059392
38219,200059392
38221,200059392
38222,243800984
38223,243800604
38224,200040657
38225,243801024
38226,200030658
38228,243800984
38229,200040715
38230,243800604
38231,200059392
38232,200077014
38235,200040715
38236,200040111
38237,243800745
38238,200077014
38239,243800984
38240,200085751
38241,200040657
38242,200030658
38243,200030658
38244,200085751
38245,200070431
38246,200068567
38247,200068542
38248,200070431
38249,200018166
38250,200068542
38252,200040715
38253,243800745
38254,200040657
38255,200059392
38256,243800984
38257,200068567
38258,200040715
38259,200085751
38260,200068542
38261,200068542
38263,200070431
38264,200040657
38265,200040657
38266,200040657
38267,200059392
38268,200018166
38269,200040657
38270,243800984
38271,200040715
38272,200070431
38273,200040657
38275,200070431
38276,243800604
38277,200040715
38278,200070431
38279,200040715
38280,200040657
38281,200040715
38282,200068542
38283,200040657
38284,200059392
38285,243800745
38286,243800745
38287,243801073
38288,243801255
38289,243800745
38290,200085751
38291,200059392
38292,243800984
38294,200068542
38295,200068542
38296,200068567
38297,200068542
38298,200085751
38299,200040657
38300,200059392
38301,200030658
38303,200018166
38304,200040657
38307,200085751
38308,200059392
38309,200040715
38310,200070431
38311,200085751
38313,200040657
38314,200018166
38315,200068567
38316,243800935
38317,200040715
38318,200077014
38319,200070431
38320,200068542
38321,200030658
38322,200070431
38323,200068567
38324,200085751
38325,200040715
38326,200040657
38328,200040715
38329,200040657
38330,200070431
38331,243800984
38332,243801073
38333,200070431
38334,200018166
38335,200085751
38336,200077014
38337,243800984
38338,200070431
38339,243801255
38340,200085751
38341,200068567
38342,200030658
38343,200068567
38344,200085751
38345,200070431
38346,200059392
38347,200059392
38348,243800604
38349,200085751
38350,200018166
38351,200059392
38352,243800604
38353,200085751
38354,200068567
38355,200030658
38356,200070431
38357,200068567
38358,200059392
38359,200070431
38360,200070431
38361,200040657
38362,243800984
38363,200085751
38364,200040715
38365,200068542
38366,200030658
38368,243800984
38369,200068567
38370,200070431
38372,243800984
38373,243800984
