name,lat,lon
L'Hort des Melleyrines,44.93727590047411,3.994968899999999
Hôpital Local de Saint-Félicien,45.08649217136693,4.629398006802184
Maison de Santé Porte de Lyon,45.82149610036928,4.760168899999999
SSR Val Rosay,45.79678834671866,4.812004502820161
Site de l'ancien Centre hospitalier de Voiron,45.36866764547495,5.59477084293996
Centre hospitalier Portes de Provence à Montélimar,44.56926536356964,4.784374407752438
Centre de Santé Sexuelle,46.11083800032498,5.8175028
Hôpital du Gier,45.526484300409486,4.619349399999999
Clinique du Vivarais,44.611668177290085,4.390547752781631
Centre hospitalier Chamonix Mont Blanc,45.91401796542399,6.862412937172399
Centre hospitalier métropole Savoie,45.5644287515531,5.910930508823648
Infirmerie Protestante,45.78659295897924,4.8355173290706
Maison des Adolescents Vetraz Monthoux,46.18108690033738,6.2484015773073525
Centre de Rééducation Fonctionnelle,46.098241400327005,2.690576
Clinique des Cèdres,45.14769721885068,5.723381072693355
Hôpital Henry Gabrielle,45.69016435056966,4.790792487202494
Centre hospitalier de Bourbon l'Archambault,46.579404977979486,3.046488554017643
La Maisonnée,45.74054970038082,4.7722795
Clinique Générale,45.89599067635125,6.126643146252081
Clinique Saint-Charles,45.76994709187439,4.827413717134788
Centre hospitalier du Beaujolais Vert,46.097740102626496,4.317999539853888
Centre hospitalier de Saint-Flour,45.03382873877276,3.086112336349555
Centre hospitalier d'Hauteville - Unité Inter,45.97493748159273,5.611712999791885
MGEN Etablissement de Santé,46.0070437270372,5.788243098823411
Centre de rééducation respiratoire Folcheran,44.41643416922117,4.0780182587723655
Centre hospitalier de Crest,44.72780195634415,5.006866975154683
Hôpital de Thizy,46.02924950033793,4.312774999999999
Clinique Psychiatrique Notre-Dame,45.75748050037844,4.886022999999999
Hôpital de Nyons,44.35956470051664,5.1370531
Hôpital de Sainte-Foy les Lyon,45.732414931522825,4.7929843713989735
Hôpital Femme-Mère-Enfant,45.74606861422948,4.900742853151136
Clinique du Renaison,46.03342633687899,4.05244681546094
Centre hospitalier du Forez,45.613101959743375,4.048965608184007
CHU Louise Michel Hopital Nord,45.83855650186117,3.091112448536184
Centre hospitalier Étienne Clementel,45.90513320035696,3.0436852
Centre d'Accueil Thérapeutique à Temps Partiel Adolescents,46.38235030027921,6.504877099999999
Centre hospitalier Émile Roux,45.05125300294298,3.878578605496184
Clinique Belledonne,45.18642116017724,5.760340309409695
Clinique Parassy,45.91301646016598,6.707298296817261
Médipôle Lyon-Villeurbanne,45.75969449194081,4.907855503238655
Centre hospitalier Bugey Sud,45.74850411027701,5.679457401316452
Centre hospitalier Yves Touraine,45.538795040123695,5.664593856503719
Centre hospitalier de Néris-Les-Bains,46.285457839161,2.6617013034987407
Hôpital départemental Dufresne Sommeiller,46.13417397403948,6.4110149808609975
Centre Hospitalier de Thiers,45.85636362748888,3.519509028781111
Clinique du Grand Pré,45.79895882106448,3.0427078241143275
Centre hospitalier de Murat,45.11071907929429,2.8730891880364444
Centre hospitalier de Pont-de-Vaux,46.43500595808002,4.944094490548927
Hôpital de l'Arbresle,45.840824077503655,4.616614458645556
Établissement de Santé Mentale Portes de l’Isère,45.61203159086722,5.154090515998391
,45.862263365824845,4.831497158002552
Maison médicale,45.32337167285649,5.562272903167554
,45.53452660583381,5.5900270918854185
Centre hospitalier Pierre Gallice,45.09599503356337,3.492356090896343
Centre hospitalier de Saint-Jean-de-Maurienne,45.27839131562524,6.341443692373205
Centre de santé Vieux Temple,45.1927760004487,5.733078699999999
Hôpital local Serrières,45.31942364444931,4.763586823756999
Clinique Le Clos Montaigne,45.64663128958402,4.235233504773015
Clinique de Chartreuse,45.36348691945796,5.588060287219498
Hopital,45.24188750044334,4.6658992
Centre hospitalier d'Albertville-Moûtiers,45.48356495550185,6.534861352177039
Hopital de Dieulefit,44.52693650050645,5.0649157
Centre de consultation,46.06072270810045,6.322613170776782
Centre hospitalier intercommunal de Morestel,45.67909300397476,5.462660078552445
Pôle de santé des Toriolets,45.91749040035511,6.092123499999999
Clinique Trenel,45.51948409508497,4.861995639017765
,45.20118300044778,6.6667452
Clinique des Côtes du Rhône,45.370819327295386,4.812395321768132
Centre hospitalier Ain Val de Saône,46.26373505522823,4.890324679178386
